6/26/2021 11:50,b'RT @ManUtd: #EURO2020 x #GoalOfTheDay \xf0\x9f\x87\xaa\xf0\x9f\x87\xb8\n\nWhen @JuanMata8 equalised in Turin with THIS \xf0\x9f\x9a\x80\n\n#MUFC https://t.co/JJmTrye2bN'
,
6/26/2021 11:49,"b""RT @nafismissessuho: @EURO2020 @vivo_europe 5\nDON'T FIGHT THE FEELING by  #EXO\n\n@EURO2020 @vivo_europe #EURO2020 @weareoneEXO https://t.co/\xe2\x80\xa6"""
,
6/26/2021 11:49,"b'RT @DFB_Team_EN: \xf0\x9f\x8e\x99\xef\xb8\x8f @esmuellert_ on #ENGGER: ""Having spirit and being willing to contest challenges all while constantly supporting each ot\xe2\x80\xa6'"
,
6/26/2021 11:49,"b""RT @ChelseaFC: It's a Chelsea thing. \xf0\x9f\x94\xb5\n\n#Euro2020 https://t.co/P6UpIHfbBx"""
,
6/26/2021 11:49,b'RT @EURO2020: \xf0\x9f\x87\xae\xf0\x9f\x87\xb9\xf0\x9f\x86\x9a\xf0\x9f\x87\xa6\xf0\x9f\x87\xb9 Who are you backing?  \n\n#EURO2020'
,
6/26/2021 11:49,b'RT @EURO2020: \xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb7\xf3\xa0\x81\xac\xf3\xa0\x81\xb3\xf3\xa0\x81\xbf\xf0\x9f\x86\x9a\xf0\x9f\x87\xa9\xf0\x9f\x87\xb0 Who ya got?\n\n#EURO2020'
,
6/26/2021 11:49,b'RT @Formula1derland: So today we have: \n#Euro2020 last 16 games begin\n#StyrianGP #F1 Quali\n#StyrianGP #WSeries Opener. \nAfternoon sorted \xf0\x9f\x98\x81'
,
6/26/2021 11:49,"b'RT @MysteryKits_: \xf0\x9f\x87\xae\xf0\x9f\x87\xb9 If Ciro Immobile or Insigne score ANYTIME against Austria tonight, we\xe2\x80\x99ll give away a Mystery Kit Box to one lucky foll\xe2\x80\xa6'"
,
